FIPS,State,County,Lat,Lon,Year,Pop_mid,Observed,PR,Expected,YearCon
1007,AL,Bibb,32.996456285921184,-87.12496297519769,1980,15838,20,21.23711340206185,24.70096386769839,1980
1009,AL,Blount,33.985247659332146,-86.56975624844863,1980,36574,37,18.00849795828275,57.04085443220109,1980
1015,AL,Calhoun,33.776189735428126,-85.8189278837142,1980,120819,129,16.333387088104068,188.4294578565129,1980
1017,AL,Chambers,32.91159373040564,-85.38992379742452,1980,39341,53,17.831691064858887,61.35627096345007,1980
1019,AL,Cherokee,34.17497968295821,-85.59996079989199,1980,19265,27,18.609385043925432,30.04571719353513,1980
1021,AL,Chilton,32.85025257838065,-86.71979303213024,1980,30663,43,19.84730312304604,47.822051715824955,1980
1027,AL,Clay,33.26819989491128,-85.86182353790683,1980,13883,18,21.016453382084094,21.65194351403313,1980
1029,AL,Cleburne,33.66784374695962,-85.51760443449372,1980,12805,17,16.677290836653388,19.970693416206448,1980
1033,AL,Colbert,34.70164419827768,-87.80588967135368,1980,54748,50,14.527831625588481,85.38504671225856,1980
1037,AL,Coosa,32.9339057489659,-86.24996070274753,1980,11448,15,24.678549259554845,17.854314582485863,1980
1043,AL,Cullman,34.12799501622364,-86.87337990995529,1980,61932,43,17.47693515671007,96.58922176122593,1980
1049,AL,DeKalb,34.456711875623874,-85.80487501202649,1980,54207,57,19.455698101883108,84.5413024609374,1980
1051,AL,Elmore,32.59769368916557,-86.1452473221196,1980,43734,46,18.178105556489786,68.20759905227436,1980
1055,AL,Etowah,34.04716480510881,-86.03722956105759,1980,103084,147,16.147019555485745,160.76993050497666,1980
1057,AL,Fayette,33.72120846868618,-87.73891196860764,1980,18946,22,18.12780989081568,29.548204409484377,1980
1059,AL,Franklin,34.44236097221343,-87.84309469036268,1980,28191,26,17.112108901717626,43.96671753973262,1980
1065,AL,Hale,32.760169518322485,-87.63241145686933,1980,15587,9,39.52232200963165,24.30950396551425,1980
1071,AL,Jackson,34.78106081387498,-85.99804919713327,1980,51295,45,15.747477118047405,79.99974375511988,1980
1073,AL,Jefferson,33.55452855088513,-86.89111568110866,1980,668550,936,15.319287635017073,1042.6713848812828,1980
1075,AL,Lamar,33.777399737273136,-88.09823954914171,1980,16421,20,18.241122530617265,25.610211369584235,1980
1077,AL,Lauderdale,34.903376854144675,-87.6491398858879,1980,81379,81,14.755013254524927,126.91878637387468,1980
1079,AL,Lawrence,34.51928062773837,-87.31379316943203,1980,30204,21,23.55411847061569,47.106194763225275,1980
1083,AL,Limestone,34.81041614190275,-86.98448065995663,1980,45775,35,16.959616821197873,71.39074510947681,1980
1087,AL,Macon,32.38729003632757,-85.68942463730481,1980,26605,19,32.979737289189075,41.49319003031415,1980
1089,AL,Madison,34.762676175755715,-86.55163054971966,1980,200059,260,13.832158123561433,312.0122572552009,1980
1093,AL,Marion,34.13605357143094,-87.88798411615092,1980,30338,33,16.062732981831616,47.31518132455068,1980
1095,AL,Marshall,34.36813351123298,-86.30693410178158,1980,66381,104,16.551989532825367,103.5278875174698,1980
1103,AL,Morgan,34.453680838606985,-86.85238315519133,1980,90083,85,13.857707332405367,140.49355525280174,1980
1107,AL,Pickens,33.279382860001604,-88.08929135614927,1980,21786,15,27.076560659599533,33.97747182861959,1980
1111,AL,Randolph,33.291530217402844,-85.45920035570087,1980,20211,18,23.225871347382174,31.521099932444248,1980
1115,AL,St. Clair,33.71885298468711,-86.31221325588201,1980,41660,45,15.606412923754744,64.97298615534251,1980
1117,AL,Shelby,33.26499661207799,-86.66154507631303,1980,69280,73,12.393407103613713,108.04917140763634,1980
